date,store_nbr,item_nbr,units,sum_units
2013-01-10,1,9,24,27396
2013-11-08,1,9,15,27396
2012-11-24,1,9,50,27396
2014-04-11,1,9,7,27396
2012-10-05,1,9,35,27396
2012-03-01,1,9,3,27396
2014-02-02,1,9,57,27396
2012-04-10,1,9,14,27396
2014-06-30,1,9,4,27396
2014-07-09,1,9,18,27396
2014-03-13,1,9,18,27396
2013-08-18,1,9,45,27396
2013-06-15,1,9,23,27396
2013-06-19,1,9,23,27396
2012-08-12,1,9,38,27396
2012-07-09,1,9,14,27396
2013-05-03,1,9,32,27396
2014-03-18,1,9,7,27396
2014-05-21,1,9,6,27396
2014-04-26,1,9,19,27396
2012-07-06,1,9,13,27396
2014-06-24,1,9,9,27396
2013-05-25,1,9,12,27396
2014-09-15,1,9,5,27396
2013-02-01,1,9,33,27396
2014-10-31,1,9,28,27396
2013-09-22,1,9,33,27396
2012-09-14,1,9,5,27396
2012-05-19,1,9,6,27396
2014-10-10,1,9,8,27396
2013-09-29,1,9,43,27396
2012-05-20,1,9,25,27396
2013-10-17,1,9,10,27396
2014-05-11,1,9,28,27396
2012-03-20,1,9,1,27396
2012-05-04,1,9,55,27396
2013-10-10,1,9,22,27396
2013-04-10,1,9,84,27396
2012-12-04,1,9,13,27396
2013-08-29,1,9,19,27396
2012-02-24,1,9,24,27396
2012-05-22,1,9,9,27396
2014-06-22,1,9,17,27396
2012-05-12,1,9,65,27396
2012-07-05,1,9,12,27396
2013-06-14,1,9,35,27396
2014-01-24,1,9,97,27396
2012-08-15,1,9,25,27396
2014-08-30,1,9,23,27396
2013-04-25,1,9,6,27396
2013-01-06,1,9,34,27396
2013-01-04,1,9,24,27396
2014-02-16,1,9,56,27396
2014-10-17,1,9,7,27396
2013-05-09,1,9,42,27396
2012-09-02,1,9,59,27396
2014-10-29,1,9,2,27396
2012-04-15,1,9,27,27396
2012-07-15,1,9,12,27396
2013-12-10,1,9,4,27396
2012-02-19,1,9,43,27396
2013-04-01,1,9,23,27396
2013-08-13,1,9,20,27396
2012-10-18,1,9,37,27396
2014-05-25,1,9,20,27396
2013-06-25,1,9,43,27396
2012-09-27,1,9,14,27396
2012-05-07,1,9,32,27396
2014-07-08,1,9,8,27396
2013-11-03,1,9,51,27396
2012-01-08,1,9,22,27396
2013-07-12,1,9,30,27396
2014-04-29,1,9,11,27396
2012-10-29,1,9,27,27396
2014-10-27,1,9,11,27396
2014-03-25,1,9,11,27396
2013-12-21,1,9,31,27396
2013-10-30,1,9,13,27396
2013-08-25,1,9,31,27396
2012-08-19,1,9,57,27396
2012-11-14,1,9,40,27396
2012-04-17,1,9,8,27396
2014-08-03,1,9,62,27396
2012-01-11,1,9,26,27396
2013-05-27,1,9,22,27396
2014-01-17,1,9,56,27396
2013-03-04,1,9,24,27396
2012-03-07,1,9,20,27396
2012-09-20,1,9,32,27396
2013-04-28,1,9,8,27396
2014-09-05,1,9,15,27396
2013-08-20,1,9,34,27396
2012-05-10,1,9,25,27396
2014-04-25,1,9,23,27396
2013-02-15,1,9,60,27396
2014-09-02,1,9,5,27396
2012-07-22,1,9,12,27396
2012-10-07,1,9,45,27396
2012-01-05,1,9,16,27396
2014-09-03,1,9,13,27396
2014-06-11,1,9,9,27396
2013-02-09,1,9,7,27396
2014-09-17,1,9,22,27396
2014-03-05,1,9,37,27396
2013-06-17,1,9,15,27396
2014-01-15,1,9,24,27396
2013-05-04,1,9,63,27396
2013-04-02,1,9,38,27396
2013-04-14,1,9,68,27396
2014-02-14,1,9,5,27396
2014-01-18,1,9,18,27396
2013-02-25,1,9,34,27396
2012-02-29,1,9,30,27396
2013-05-14,1,9,51,27396
2013-01-02,1,9,13,27396
2012-01-15,1,9,40,27396
2014-10-11,1,9,21,27396
2012-04-22,1,9,31,27396
2014-02-24,1,9,10,27396
2013-04-22,1,9,16,27396
2014-04-09,1,9,29,27396
2014-05-31,1,9,24,27396
2012-08-06,1,9,24,27396
2014-03-22,1,9,34,27396
2013-06-11,1,9,23,27396
2014-06-02,1,9,23,27396
2012-01-02,1,9,60,27396
2014-08-01,1,9,66,27396
2012-05-23,1,9,27,27396
2013-06-03,1,9,22,27396
2013-08-31,1,9,38,27396
2012-01-06,1,9,12,27396
2012-06-06,1,9,25,27396
2013-09-24,1,9,18,27396
2012-02-01,1,9,60,27396
2014-05-01,1,9,5,27396
2014-10-07,1,9,15,27396
2012-07-30,1,9,41,27396
2013-10-05,1,9,65,27396
2014-06-23,1,9,12,27396
2013-08-23,1,9,23,27396
2013-06-24,1,9,10,27396
2013-07-10,1,9,6,27396
2014-09-07,1,9,32,27396
2012-03-22,1,9,11,27396
2012-11-05,1,9,61,27396
2014-03-21,1,9,11,27396
2012-08-28,1,9,64,27396
2013-11-01,1,9,13,27396
2013-05-01,1,9,29,27396
2013-12-09,1,9,13,27396
2012-03-27,1,9,7,27396
2012-05-30,1,9,5,27396
2012-10-08,1,9,47,27396
2014-04-27,1,9,37,27396
2013-10-09,1,9,17,27396
2012-02-09,1,9,42,27396
2013-04-09,1,9,41,27396
2013-04-18,1,9,24,27396
2012-04-14,1,9,17,27396
2012-11-21,1,9,48,27396
2014-08-08,1,9,27,27396
2014-05-26,1,9,12,27396
2012-02-16,1,9,54,27396
2014-04-10,1,9,3,27396
2014-04-06,1,9,19,27396
2013-11-07,1,9,13,27396
2013-12-01,1,9,20,27396
2012-01-31,1,9,39,27396
2014-07-23,1,9,23,27396
2013-03-03,1,9,38,27396
2012-12-09,1,9,73,27396
2014-09-18,1,9,16,27396
2012-01-13,1,9,29,27396
2014-03-10,1,9,8,27396
2013-01-07,1,9,61,27396
2013-12-20,1,9,20,27396
2013-07-05,1,9,31,27396
2012-04-02,1,9,34,27396
2012-09-25,1,9,38,27396
2014-02-05,1,9,2,27396
2012-06-07,1,9,24,27396
2012-05-31,1,9,11,27396
2012-04-16,1,9,5,27396
2013-09-27,1,9,11,27396
2014-04-08,1,9,29,27396
2012-04-23,1,9,10,27396
2014-09-06,1,9,7,27396
2013-02-21,1,9,54,27396
2013-06-26,1,9,15,27396
2013-01-18,1,9,59,27396
2014-07-21,1,9,24,27396
2013-03-16,1,9,34,27396
2012-10-15,1,9,17,27396
2012-07-13,1,9,13,27396
2013-01-27,1,9,41,27396
2014-06-19,1,9,4,27396
2013-01-14,1,9,29,27396
2014-05-24,1,9,24,27396
2014-04-20,1,9,15,27396
2014-04-17,1,9,8,27396
2012-10-17,1,9,29,27396
2014-04-15,1,9,7,27396
2012-07-18,1,9,18,27396
2014-04-12,1,9,16,27396
2012-10-16,1,9,10,27396
2014-06-27,1,9,6,27396
2014-03-24,1,9,19,27396
2012-03-25,1,9,67,27396
2014-06-08,1,9,31,27396
2014-06-10,1,9,11,27396
2012-08-21,1,9,14,27396
2014-01-08,1,9,22,27396
2014-06-09,1,9,9,27396
2013-01-08,1,9,27,27396
2012-01-12,1,9,32,27396
2014-04-30,1,9,8,27396
2012-01-10,1,9,25,27396
2014-02-12,1,9,28,27396
2013-05-26,1,9,25,27396
2012-04-26,1,9,12,27396
2013-04-30,1,9,9,27396
2013-03-27,1,9,12,27396
2012-09-08,1,9,46,27396
2012-12-21,1,9,2,27396
2012-12-19,1,9,29,27396
2012-06-27,1,9,10,27396
2013-04-23,1,9,66,27396
2014-02-25,1,9,5,27396
2012-12-18,1,9,24,27396
2013-01-03,1,9,8,27396
2012-02-20,1,9,27,27396
2013-04-16,1,9,10,27396
2012-03-31,1,9,27,27396
2014-08-23,1,9,42,27396
2013-05-20,1,9,15,27396
2013-05-08,1,9,19,27396
2012-12-27,1,9,41,27396
2012-08-17,1,9,18,27396
2014-04-04,1,9,55,27396
2012-08-27,1,9,24,27396
2012-04-07,1,9,22,27396
2012-09-07,1,9,29,27396
2013-05-15,1,9,55,27396
2012-03-03,1,9,45,27396
2014-02-18,1,9,1,27396
2012-12-22,1,9,24,27396
2014-08-07,1,9,68,27396
2013-01-01,1,9,54,27396
2012-12-06,1,9,43,27396
2012-06-16,1,9,34,27396
2014-10-08,1,9,9,27396
2012-08-07,1,9,23,27396
2013-12-07,1,9,46,27396
2014-01-09,1,9,34,27396
2013-06-18,1,9,23,27396
2014-03-03,1,9,7,27396
2014-01-07,1,9,25,27396
2012-08-03,1,9,40,27396
2012-12-12,1,9,28,27396
2012-01-09,1,9,50,27396
2012-10-02,1,9,40,27396
2014-08-29,1,9,28,27396
2012-01-18,1,9,21,27396
2012-02-21,1,9,28,27396
2013-06-22,1,9,14,27396
2012-05-26,1,9,33,27396
2013-09-05,1,9,17,27396
2013-09-06,1,9,33,27396
2012-03-10,1,9,41,27396
2014-05-30,1,9,42,27396
2012-05-13,1,9,49,27396
2013-09-26,1,9,13,27396
2013-06-23,1,9,32,27396
2013-01-16,1,9,15,27396
2012-01-04,1,9,20,27396
2013-12-05,1,9,13,27396
2013-10-11,1,9,16,27396
2013-03-10,1,9,68,27396
2012-09-19,1,9,14,27396
2012-10-04,1,9,66,27396
2012-03-05,1,9,57,27396
2012-07-12,1,9,13,27396
2013-09-25,1,9,6,27396
2013-10-04,1,9,46,27396
2012-05-25,1,9,7,27396
2013-03-14,1,9,28,27396
2012-10-26,1,9,24,27396
2013-10-21,1,9,23,27396
2013-08-17,1,9,49,27396
2013-02-20,1,9,38,27396
2012-09-13,1,9,27,27396
2014-05-08,1,9,5,27396
2013-07-29,1,9,8,27396
2013-01-12,1,9,57,27396
2012-09-24,1,9,38,27396
2013-11-04,1,9,91,27396
2012-02-05,1,9,86,27396
2013-06-16,1,9,19,27396
2013-11-14,1,9,13,27396
2012-10-19,1,9,33,27396
2012-11-12,1,9,45,27396
2012-05-06,1,9,42,27396
2014-10-13,1,9,17,27396
2012-09-01,1,9,84,27396
2013-09-21,1,9,28,27396
2014-01-10,1,9,3,27396
2014-05-15,1,9,3,27396
2012-11-28,1,9,11,27396
2012-10-27,1,9,67,27396
2013-12-18,1,9,6,27396
2012-11-15,1,9,16,27396
2012-04-01,1,9,70,27396
2012-06-13,1,9,13,27396
2014-08-20,1,9,63,27396
2014-04-21,1,9,8,27396
2013-11-06,1,9,22,27396
2013-04-11,1,9,29,27396
2014-09-04,1,9,6,27396
2012-03-18,1,9,45,27396
2012-04-27,1,9,56,27396
2012-07-29,1,9,32,27396
2014-02-15,1,9,22,27396
2012-01-19,1,9,35,27396
2013-03-06,1,9,16,27396
2014-10-06,1,9,41,27396
2013-05-13,1,9,36,27396
2012-07-21,1,9,30,27396
2013-03-09,1,9,39,27396
2012-06-10,1,9,25,27396
2012-09-18,1,9,13,27396
2013-06-01,1,9,6,27396
2013-03-26,1,9,29,27396
2013-05-24,1,9,6,27396
2012-02-02,1,9,76,27396
2014-01-02,1,9,54,27396
2013-04-05,1,9,64,27396
2013-10-27,1,9,43,27396
2012-08-14,1,9,11,27396
